,image_name,label,feature1,feature2
0,0.png,5,20.4388,-16.499464
1,1.png,0,32.89029,-14.001527
2,2.png,4,-39.098446,-36.93558
3,3.png,1,17.673944,7.668719
4,4.png,9,-22.573544,-12.311383
5,5.png,2,47.639847,23.921131
6,6.png,1,2.3506787,51.751095
7,7.png,3,3.5933142,-1.9068218
8,8.png,1,6.5335536,48.943985
9,9.png,4,-8.42413,-45.603207
10,10.png,3,5.2186584,7.9415073
11,11.png,5,25.893188,-38.8602
12,12.png,3,-9.223785,12.925143
13,13.png,6,-20.104033,38.11359
14,14.png,1,16.872562,47.850193
15,15.png,7,-29.614368,19.698877
16,16.png,2,36.249783,15.41224
17,17.png,8,11.225361,-38.070942
18,18.png,6,-13.596285,28.70923
19,19.png,9,-19.71771,0.9803219
20,20.png,4,-40.305218,-34.96888
21,21.png,0,33.576744,-17.569727
22,22.png,9,-19.27938,-4.4761534
23,23.png,1,17.746458,7.576502
24,24.png,1,11.475313,39.227287
25,25.png,2,29.221214,28.585697
26,26.png,4,-19.212524,-31.466692
27,27.png,3,-2.4075637,2.8333817
28,28.png,2,-21.663916,12.3381405
29,29.png,7,-17.977459,18.454674
30,30.png,3,-11.24543,16.799553
31,31.png,8,12.802007,-41.15464
32,32.png,6,-20.953884,26.502716
33,33.png,9,-19.219313,1.6586106
34,34.png,0,26.44378,-8.438784
35,35.png,5,29.932245,-34.008175
36,36.png,6,-11.921353,25.200907
37,37.png,0,27.65093,-10.288083
38,38.png,7,-36.403934,-2.4904897
39,39.png,6,-17.46058,36.63813
40,40.png,1,3.7270625,36.996796
41,41.png,8,4.3983727,-31.40497
42,42.png,7,-37.162373,2.1260502
43,43.png,9,-21.33656,0.05613922
44,44.png,3,-10.3060875,-0.7627198
45,45.png,9,-24.182152,-10.794461
46,46.png,8,-4.532156,-27.138985
47,47.png,5,22.241117,-29.386683
48,48.png,9,-11.834084,-0.4162431
49,49.png,3,1.0495926,1.4311153
50,50.png,3,0.5163589,15.9254675
51,51.png,0,43.23815,-10.067801
52,52.png,7,-43.430798,11.988608
53,53.png,4,-9.739129,-34.673622
54,54.png,9,-25.96986,-10.055215
55,55.png,8,1.9991461,-37.23132
56,56.png,0,46.98259,-4.5941715
57,57.png,9,-17.9347,-4.358931
58,58.png,4,-29.54683,-32.754086
59,59.png,1,23.243141,9.0506315
60,60.png,4,-41.397434,-39.181858
61,61.png,4,-6.026709,-40.494694
62,62.png,6,-10.9833355,29.625246
63,63.png,0,37.166798,-14.062176
64,64.png,4,-31.879856,-45.793858
65,65.png,5,25.576817,-39.314144
66,66.png,6,-13.190776,33.359287
67,67.png,1,16.99414,28.839739
68,68.png,0,53.514732,-9.281629
69,69.png,0,32.046116,-0.11332059
70,70.png,1,12.917116,40.750042
71,71.png,7,-28.900629,21.007746
72,72.png,1,17.453386,42.92079
73,73.png,6,-15.834602,33.78921
74,74.png,3,-2.6459808,7.405554
75,75.png,0,29.792208,-7.5120816
76,76.png,2,26.634575,35.611076
77,77.png,1,15.749963,13.424275
78,78.png,1,20.35596,18.066242
79,79.png,7,-19.095575,18.54585
80,80.png,9,10.884729,-4.2051063
81,81.png,0,29.736929,-7.4116836
82,82.png,2,35.94331,11.459885
83,83.png,6,-16.560326,40.824684
84,84.png,7,-38.337116,5.938019
85,85.png,8,3.2387388,-30.89932
86,86.png,3,-13.350873,13.502263
87,87.png,9,-14.384083,-7.987855
88,88.png,0,47.903004,-3.1221797
89,89.png,4,-14.493747,-49.372612
90,90.png,6,-17.02213,39.680164
91,91.png,7,-33.64363,23.383265
92,92.png,4,-30.631195,-35.890945
93,93.png,6,-14.223546,32.279095
94,94.png,8,3.4684947,-36.057014
95,95.png,0,29.273182,-5.177846
96,96.png,7,-34.360725,10.814067
97,97.png,8,5.8559375,-37.40898
98,98.png,3,-2.9012017,6.9658933
99,99.png,1,17.52523,12.185214
100,100.png,5,15.847701,-24.538904
101,101.png,7,-39.22182,20.564604
102,102.png,1,16.225851,46.110622
103,103.png,7,-34.37688,15.859973
104,104.png,1,5.676179,55.99759
105,105.png,1,21.707396,20.126888
106,106.png,6,-18.082865,29.380362
107,107.png,3,9.796746,5.658616
108,108.png,0,53.692036,-13.183453
109,109.png,2,40.381237,36.70397
110,110.png,9,-42.24904,-17.892963
111,111.png,3,2.9750617,-4.332734
112,112.png,1,7.170431,35.261875
113,113.png,1,24.053434,18.100103
114,114.png,0,45.427376,-21.53334
115,115.png,4,-12.115213,-47.53264
116,116.png,9,-29.465858,-17.211332
117,117.png,2,34.805824,33.418507
118,118.png,0,39.378803,-5.6174927
119,119.png,0,33.27446,-18.358484
120,120.png,2,-31.461636,6.958017
121,121.png,0,49.036568,-11.296786
122,122.png,2,33.59059,29.105867
123,123.png,7,-26.678577,21.294369
124,124.png,1,20.229923,39.70225
125,125.png,8,5.2845917,-30.514927
126,126.png,6,-14.326807,21.457035
127,127.png,4,-6.7547936,-47.24013
128,128.png,1,3.1139786,34.01438
129,129.png,6,-8.248957,34.773907
130,130.png,3,-2.9750152,0.87865657
131,131.png,4,-7.5942564,-45.71411
132,132.png,5,2.9322596,9.776515
133,133.png,9,-25.668901,-2.182307
134,134.png,1,2.3553996,57.433754
135,135.png,3,9.097633,2.090289
136,136.png,3,-11.954544,8.802895
137,137.png,8,8.259932,-33.065636
138,138.png,5,18.509481,-7.359807
139,139.png,4,-11.430989,-40.37496
140,140.png,7,-27.068695,5.4294167
141,141.png,7,-18.717552,18.514345
142,142.png,4,-18.780352,-32.077385
143,143.png,2,38.24581,36.85658
144,144.png,8,-7.484909,-20.388336
145,145.png,5,24.623512,-36.75111
146,146.png,8,3.7175293,-38.487396
147,147.png,6,-17.05387,31.661018
148,148.png,7,-18.486086,6.686327
149,149.png,3,-7.0163765,7.389147
150,150.png,4,-18.022787,-24.278105
151,151.png,6,-14.095568,39.112667
152,152.png,1,16.319517,36.64995
153,153.png,9,-19.835613,-1.8670208
154,154.png,9,-44.046375,3.179757
155,155.png,6,-10.162942,36.54078
156,156.png,0,43.283405,-21.374187
157,157.png,3,9.341668,1.317625
158,158.png,7,-54.252216,-2.7950642
159,159.png,2,34.90862,33.32662
160,160.png,8,-6.2424307,-22.98634
161,161.png,2,29.577486,27.598217
162,162.png,9,-32.18513,-12.623748
163,163.png,4,-5.9871182,-40.26273
164,164.png,4,-35.86809,-35.38034
165,165.png,6,-13.260268,34.441097
166,166.png,4,-13.164583,-39.541588
167,167.png,9,-15.067096,-9.792905
168,168.png,7,-27.335398,6.763384
169,169.png,0,29.113514,-5.162339
170,170.png,9,-37.01604,-12.932473
171,171.png,2,34.81776,33.32928
172,172.png,9,-46.83168,7.195376
173,173.png,5,30.549835,-36.440254
